GPS time	ZED timestamp	Temp (C)	Sys_cal	accel_cal	gyro_cal	mag_cal	w_quat	x_quat	y_quat	z_quat	x_eulery_euler	z_euler
2017-06-30T13:31:57.218Z	469467578518	29	0	1	3	3	-0.436768	0.0370483	0.012146	-0.898743	231.812	-3.1875	3.0625
2017-06-30T13:31:57.270Z	469534242215	29	0	1	3	3	-0.436768	0.0368652	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.322Z	511749150585	29	0	1	3	3	-0.436768	0.0368042	0.0125732	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.376Z	511820326991	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.428Z	511901825741	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.479Z	511945693345	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.535Z	511984311991	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.588Z	512024580897	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.640Z	512076023293	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.695Z	512151236210	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.748Z	512198083501	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.800Z	512264881887	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.856Z	512264881887	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.909Z	512331515428	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:57.960Z	512398105584	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:58.012Z	512464752928	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:58.068Z	512531491262	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:58.120Z	512598098293	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:58.172Z	512664816886	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:58.224Z	512664816886	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:58.277Z	512731448553	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
2017-06-30T13:31:58.330Z	512798313657	29	0	1	3	3	-0.436768	0.0368042	0.0125122	-0.898743	231.812	-3.125	3.125
